"","gsc","debut"
"1","6011102321777975981",1999-11-10
"2","5783578993305100049",2003-11-22
"3","16402910893878788259",2005-09-30
"4","4901956600431798800",2005-09-30
"5","1781766335103036726",2007-08-24
"6","8364913593943584988",2007-11-13
"7","12021594693671688999",2007-07-03
"8","15676451201560799581",2007-11-26
"9","16588632845206389302",2007-11-07
"10","1766555549069603073",2008-06-28
"11","15232863489412419097",2008-07-04
"12","2785586168781670494",2009-10-24
"13","13883262842558479255",2009-08-25
"14","5122044426468368607",2009-07-05
"15","9541340872133322326",2009-02-16
"16","10414701704056396766",2009-04-07
"17","15376609243170697189",2009-04-13
"18","1571129024507912756",2009-05-18
"19","3140411546812095568|15690442731476067221",2009-04-10
"20","2533973818486057472",2009-03-07
"21","10291795343852326164",2009-06-19
"22","15175111486252448337",2009-01-31
"23","4720068888103178430",2009-04-07
"24","17237570160429222740",2009-02-17
"25","16202102736485383127",2009-04-05
"26","9569436664494001075",2009-10-19
"27","3578350359282359077",2010-11-12
"28","2178500113847122432",2010-03-19
"29","1309077565000164742",2010-05-11
"30","14129324961857661565",2010-12-31
"31","6910771915725231306",2010-05-12
"32","7291029619002382552",2010-09-28
"33","14064810811573050452",2010-08-05
"34","17859025969057339015",2010-08-01
"35","10045806777044423682",2010-11-12
"36","2257150891430597618",2010-02-04
"37","18412516483632645627",2011-08-08
"38","15984853977375304837",2011-12-14
"39","6898565870034977114",2011-11-04
"40","3940588078366372491",2011-06-15
"41","13828393801473211779",2011-04-26
"42","18018816502045475580",2011-12-31
"43","15379844670905974316",2011-09-07
"44","8694347996165652637",2011-10-26
"45","13786326122796380949",2011-02-23
"46","13131482859672835122",2011-07-12
"47","8347259751458631971",2011-07-29
"48","12720777841101355744",2011-08-31
"49","9720401440094211724",2011-11-30
"50","14169676455367417537",2011-12-31
"51","14097438892606895531",2011-06-23
"52","8289021342855558176",2011-02-05
"53","353675683955473249",2011-08-19
"54","6729187441749415685",2011-02-19
"55","11016148139901833908",2011-05-02
"56","4080037742988848092",2011-12-27
"57","4908748148043447820",2011-01-14
"58","17524241152479259458",2011-02-01
"59","10141317009102901743",2011-01-01
"60","17859025969057339015",2011-12-31
"61","10152905706519051793",2011-10-31
"62","17932844817966059043",2011-08-24
"63","13991307964333625556",2011-06-30
"64","10935304083398930833",2011-08-25
"65","2560662481989550073",2011-12-16
"66","16188532122261777953",2011-09-15
"67","4782068552717627566",2011-03-09
"68","3520253853021664728",2011-02-24
"69","9946192549239923136",2012-01-18
"70","14270428956862812592",2011-09-16
"71","1953740496731087844",2012-05-01
"72","782411653304378480",2012-02-27
"73","10839783135985262013",2012-05-01
"74","9782718888324797307",2012-04-25
"75","8495558384999898192",2012-12-31
"76","18090328867706649279",2012-09-05
"77","5741716401679290878",2012-03-19
"78","4537066903811917183",2012-07-18
"79","13631684328836103551",2012-10-31
"80","15274025032195515406",2012-01-31
"81","7007704270923744745",2012-05-31
"82","319607914197906293",2012-10-22
"83","1482646279646045885",2011-10-11
"84","15521562616602075778",2011-01-20
"85","9194558233882348338",2011-10-27
"86","4731741271071474583",2012-07-27
"87","254521855620065806",2012-02-07
"88","7392902419163354003",2013-03-22
"89","5376773155503413590",2013-09-26
"90","6363235611195383183",2013-08-14
"91","17525824778436963126",2013-12-30
"92","7278547811754330346",2013-03-08
"93","5694298249117733197",2013-08-23
"94","9331241769819431930",2013-11-16
"95","10107310476031659138",2012-09-29
"96","10759168924172155743",2013-08-30
"97","12641048451323848196",2013-08-31
"98","15634943498374959697",2013-03-31
"99","5433537624725733394",2013-02-28
"100","8532839801068921677",2013-12-21
"101","14421633296636055657",2013-08-21
"102","4026134441475336276",2013-09-30
"103","10231166777839338631",2013-11-07
"104","2532550215998274877",2011-10-14
"105","2433030717678364542",2012-06-15
"106","16215917201762474307",2013-05-04
"107",NA,2013-11-20
"108","5477252860303490902",2013-03-08
"109","9078789530982105621",2013-06-26
"110","13478044226992543813",2012-07-27
"111","2797932850336183253",2013-11-16
"112","6828545711075462513",2013-12-01
"113","1672542369718610906",2014-02-26
"114","11659103491509650714",2014-05-21
"115","8881227059868645482",2014-08-28
"116","7084361583529973999",2014-05-23
"117","11744806829323175461",2014-06-30
"118","304338748587054938",2014-10-13
"119","5116663888640807073",2014-11-14
"120","14453081923007059267",2014-01-27
"121","2862041699259010282",2014-06-18
"122","11699186662207755316",2014-12-31
"123","17562390653818184065",2013-10-01
"124","14165987644604991374",2012-12-12
"125","11987064734542149183",2014-06-24
"126","16415277536422037879",2014-04-15
"127","742906124760025150",2014-10-08
"128","7364335901401499652",2014-06-03
"129","11838286190902064906",2014-04-10
"130","15479119673249488530",2014-07-26
"131","7768243109589650196",2013-06-28
"132","2755478082970559510",2014-10-22
"133","13413072286841187229",2014-04-14
"134","3907354121185999848",2013-11-02
"135","13508888899711955148",2014-07-23
"136","15729444450210853376",2014-07-31
"137","18317753853438832501",2014-09-09
"138","17034833009335106499",2014-12-16
"139","7251199940575600205",2014-03-05
"140","2499820564520733120",2014-02-18
"141","12669593047361150433",2014-12-31
"142",NA,2014-11-19
"143","1877071569727941897",2014-12-31
"144","12431212251037083517",2014-09-26
"145","10839150707153588809",2014-07-31
"146","11351703201172433691",2014-08-20
"147","9210625666738523976",2014-11-19
"148","15397681090571566352",2014-08-12
"149","10287629736542003695",2015-03-25
"150","275418318717836749",2014-08-07
"151","15141833724125448122",2015-12-31
"152","2124097880840271620",2015-04-24
"153","1477209901690465573",2015-04-01
"154","405484615237516781",2015-03-27
"155","626977247688835538",2015-04-01
"156","15586454427327336256",2014-10-25
"157","5768385528986110490",2015-05-02
"158",NA,2015-11-18
"159","15419847508180354236",2015-07-18
"160","10085590857794771214",2015-08-23
"161","14151262832984177483",2014-12-18
"162","793633649644841267",2015-04-14
"163","16276297231141117463",2015-09-22
"164","13849753041952158348",2015-10-16
"165","6116679526498741915",2015-09-03
"166","7075984228223359820",2015-02-05
"167","101216489333439062",2015-08-14
"168","18264210565097817580",2015-01-29
"169","3853481226495975509",2015-03-22
"170","239186577601648228",2015-07-31
"171","18340469069556949129",2015-06-24
"172","9436363093917650391",2015-09-14
"173","8552262842231584077",2015-04-24
"174","2183433638187223115",2015-08-29
"175","6762361255512973083",2015-06-16
"176","5884760505723322221",2015-02-20
"177","11328982779482658636",2015-07-27
"178","3001601440051743147",2015-11-09
"179","4125094932718142742",2015-01-08
"180","2894765692799592605",2015-08-28
"181","10187466713608787414",2015-11-18
"182","16954452513554766539",2014-10-23
"183","9975778981456457950",2015-10-19
"184","15369475864192034659",2015-10-21
"185","13319065773913311073",2015-09-28
"186","8752800357398772150",2016-04-26
"187","15070039911616517406",2016-07-27
"188",NA,2016-02-23
"189","12112474574544883449",2016-01-14
"190","11259984925427313520",2016-05-27
"191","7408107029410258511",2016-05-21
"192","12361957703146268092",2016-06-15
"193","6198767401959411329",2016-05-23
"194","9977679068032873450",2016-05-18
"195","3693774038279178940",2016-06-04
"196","645850665961501145",2016-01-26
"197","17653819535321164289",2015-10-17
"198","16268501381368212203",2016-06-27
"199","4503635296488022601",2016-04-15
"200","10704495480470258068",2015-07-19
"201","9594940078641679063",2016-04-30
"202","11204179047977547964",2015-06-22
"203","12055918768487749039",2016-02-16
"204","12885358153772323640",2015-08-21
"205","13862997009944514441",2016-02-04
"206","17959342134111868712",2016-04-07
